Veer Pratap Singh,139,9,9,34.0,296,10,2/31,29.6,8.7,20.4,0,0,7
Charl Langeveldt,118,7,7,26.0,187,13,3/15,14.38,7.19,12.0,0,0,7
DP Vijaykumar,203,9,9,25.2,199,4,1/17,49.75,7.85,38.0,0,0,7
Ajit Chandila,130,12,12,39.0,242,11,4/13,22.0,6.2,21.27,1,0,7
Beuran Hendricks,152,7,7,25.0,235,9,3/36,26.11,9.4,16.66,0,0,7
Jason Holder,194,11,11,36.0,306,5,2/20,61.2,8.5,43.2,0,0,7
James Franklin,150,20,15,25.1,220,9,2/18,24.44,8.74,16.77,0,0,7
Jacob Oram,151,18,13,37.3,336,9,3/32,37.33,8.96,25.0,0,0,7
KP Appanna,146,14,13,36.0,286,9,4/19,31.77,7.94,24.0,1,0,7
Krunal Pandya,174,12,11,31.1,236,6,2/15,39.33,7.57,31.16,0,0,7
V Kohli,212,139,26,41.5,368,4,2/25,92.0,8.79,62.75,0,0,7
Sourav Ganguly,137,59,20,46.0,363,10,2/21,36.3,7.89,27.6,0,0,7
Mohammad Asif,162,8,8,32.0,296,8,2/19,37.0,9.25,24.0,0,0,7
YA Abdulla,110,11,11,34.5,307,15,4/31,20.46,8.81,13.93,2,0,7
Marchant de Lange,195,5,5,18.0,169,5,3/34,33.8,9.38,21.6,0,0,7
